word, real stem, stem guess, correct?
viszont, viszont, viszont, true
áll, áll, áll, true
ezzel, ez, ez, true
tehát, tehát, tehát, true
ezek, ez, ez, true
nagyobb, nagy, nagyobb, false
ahogy, ahogy, a, false
maga, maga, maga, true
teljesen, teljesen, teljes, false
egyre, egyre, egy, false
hogyan, ahogyan|hogyan, hogy, false
valami, valami, valami, true
amelyek, amely, amely, true
esetén, esetén, esetén, true
ma, ma, ma, true
ennek, ez, ennek, false
például, például, például, true
e, e, e, true
megfelelő, megfelel, meg, false
éppen, éppen, éppen, true
mi, mi, mi, true
voltak, van, volt, false
vele, ő, vele, false
éves, éves, éve, false
túl, túl, túl, true
három, három, három, true
igen, igen, igen, true
benne, ő, be, false
elég, elég, elé, false
esetben, eset, esetben, false
neki, ő, neki, false
mondta, mond, mondta, false
módon, mód, módon, false
magát, maga, magát, false
kellett, kell, kell, true
fog, fog, fog, true
magyar, magyar, magyar, true
világ, világ, világ, true
tovább, tovább, tovább, true
azzal, az, az, true
újra, újra, új, false
szó, szó, szó, true
közül, közül, közül, true
felé, felé, fel, false
erre, ez, erre, false
arról, az, a, false
szükséges, szükséges, szükséges, true
aztán, aztán, azt, false
talán, talán, talán, true
adott, ad, a, false
belül, belül, be, false
idő, idő, idő, true
ezt, ez, ez, true
keresztül, keresztül, keresztül, true
így, így, így, true
mégis, mégis, még, false
különböző, különböző, különböző, true
vissza, vissza, vissza, true
én, én, én, true
tudja, tud, tudja, false
ebben, ez, ebben, false
ellen, ellen, el, false
abban, az, a, false
emberi, emberi, ember, false
szinte, szinte, szinte, true
képes, képes, képes, true
részt, rész, részt, false
óta, óta, óta, true
rá, rá, rá, true
mindenki, mindenki, minden, false
össze, össze, össze, true
miért, miért|amiért, miért, false
mivel, mivel, mivel, true
se, se, se, true
minden, minden, minden, true
mindent, minden, minden, true
tudom, tud, tudom, false
legnagyobb, nagy, legnagyobb, false
került, kerül, került, false
második, második, más, false
mikor, amikor|mikor, mikor, false
ugyanis, ugyanis, ugyanis, true
tud, tud, tud, true
kicsit, kicsit, ki, false
élet, élet, élet, true
jobban, jobban, jobban, true
hozzá, hozzá, hozzá, true
szép, szép, szép, true
azt, az, az, true
mit, mit, mit, true
található, található, található, true
pár, pár, pár, true
egyes, egyes, egy, false
közben, közben, közben, true
vagyunk, van, vagy, false
nekem, én, nekem, false
része, rész, része, false
egyetlen, egyetlen, egy, false
nagyon, nagyon, nagyon, true
hosszú, hosszú, hosszú, true
valaki, valaki, valaki, true
míg, míg, míg, true
sokkal, sok, sok, true
jobb, jó, jobb, false
te, te, te, true
persze, persze, persze, true
semmi, semmi, sem, false
csak, csak, csak, true
ennek, ez, ennek, false
stb, stb, stb, true
kerül, kerül, kerül, true
bár, bár, bár, true
lévő, van__lesz, lévő, false
érdemes, érdemes, érdemes, true
érdekében, érdekében, érdekében, true
kívül, kívül, kívül, true
utolsó, utolsó, utolsó, true
pl, pl, pl, true
melyek, amely, mely, false
amikor, amikor, ami, false
ezek, ez, ez, true
szemben, szemben, szemben, true
legjobb, jó, legjobb, false
mai, mai, mai, true
legalább, legalább|alább, legalább, false
egyéb, egyéb, egy, false
közös, közös, közös, true
azokat, az, azok, false
sikerült, sikerül, sikerült, false
következő, következik, következő, false
szabad, szabad, szabad, true
című, című, című, true
egyszer, egyszer, egy, false
amelyet, amely, amely, true
segítségével, segítség, segítségével, false
régi, régi, régi, true
jelent, jelent, jelent, true
további, további, tovább, false
rossz, rossz, rossz, true
ezer, ezer, ez, false
jézus, jézus|jézus, jézus, false
ahhoz, az, a, false
újabb, új, új, true
biztos, biztos, biztos, true
most, most, most, true
szakmai, szakmai, szakmai, true
számos, számos, számos, true
igazán, igazán, igazán, true
magas, magas, maga, false
azaz, azaz, az, false
elő, elő, el, false
először, először, el, false
kapcsolatban, kapcsolat, kapcsolatban, false
mintha, mintha, mint, false
fél, fél, fél, true
belső, belső, be, false
általában, általában, által, false
szóló, szól, szól, true
dolog, dolog, dolog, true
teszi, tesz, teszi, false
rendszer, rendszer, rendszer, true
sőt, sőt, sőt, true
helyi, helyi, helyi, true
igazi, igazi, igazi, true
ő, ő, ő, true
hazai, hazai, haza, false
bizonyos, bizonyos, bizonyos, true
elmúlt, elmúlik, el, false
egyszerű, egyszerű, egyszer, false
történő, történik, történő, false
végén, vég, végén, false
éve, év, év, true
szükség, szükség, szükség, true
soha, soha, soha, true
itt, itt, itt, true
péter, péter, péter, true
történt, történik, történt, false
város, város, város, true
program, program, program, true
természetes, természetes, természetes, true
ezért, ezért, ez, false
tudjuk, tud, tudjuk, false
évben, év, év, true
sokat, sok, sok, true
csupán, csupán, csupán, true
már, már, már, true
fő, fő, fő, true
készült, készül, készült, false
jelenti, jelent, jelent, true
gyakran, gyakran, gyakran, true
esetében, eset, esetében, false
lenni, van__lesz, lenni, false
alá, alá, a, false
ezen, ez, ez, true
hogy, hogy, hogy, true
mi, ami|mi, mi, false
még, még, még, true
többi, többi, több, false
nehéz, nehéz, nehéz, true
vagyis, vagyis, vagy, false
annyira, annyira, a, false
őt, ő, ő, true
kapott, kap, kapott, false
magyarországon, magyarország, magyar, false
ismét, ismét, is, false
ők, ők, ő, false
szintén, szintén, szintén, true
ezeket, ez, ezek, false
álló, áll, áll, true
kisebb, kicsi, kis, false
rá, ő, rá, false
követően, követően, követően, true
nemcsak, nemcsak, nem, false
mert, mert, mert, true
ellenére, ellenére, ellen, false
mit, ami|mi, mit, false
igaz, igaz, igaz, true
egészen, egészen, egész, false
összes, összes, össze, false
történik, történik, történik, true
természetesen, természetesen, természetes, false
vált, válik, vált, false
óra, óra, óra, true
helyen, hely, helyen, false
lehetőség, lehetőség, lehet, false
voltam, van, volt, false
bele, bele, be, false
munka, munka, munka, true
célja, cél, célja, false
ad, ad, a, false
lászló, lászló, lászló, true
gazdasági, gazdasági, gazdasági, true
nemzetközi, nemzetközi, nem, false
ft, ft, ft, true
hát, hát, hát, true
hatalmas, hatalmas, ha, false
férfi, férfi, férfi, true
előre, előre, el, false
kellene, kell, kell, true
szent, szent, szent, true
tenni, tesz, tenni, false
korábban, korábban, korábban, true
jelen, jelen, jelen, true
nő, nő, nő, true
valóban, valóban, való, false
kb, kb, kb, true
esetleg, esetleg, esetleg, true
személyes, személyes, személyes, true
mivel, mivel, mivel, true
hasonló, hasonló, ha, false
melyet, amely, mely, false
ország, ország, ország, true
négy, négy, négy, true
hu, hu, hu, true
közel, közel, közel, true
napon, nap, nap, true
jelentős, jelentős, jelent, false
akkor, akkor, a, false
kapcsolatos, kapcsolatos, kapcsolatos, true
évek, év, éve, false
ám, ám, ám, true
folyamatosan, folyamatosan, folyamatosan, true
millió, millió, millió, true
jött, jön, jött, false
végül, végül, végül, true
amíg, amíg, a, false
ne, ne, ne, true
elsősorban, elsősorban, első, false
úgy, úgy, úgy, true
szervezet, szervezet, szervezet, true
hol, hol|ahol, hol, false
törvény, törvény, törvény, true
harmadik, harmadik, ha, false
róla, ő, róla, false
magyarország, magyarország, magyar, false
hét, hét, hét, true
külön, külön, külön, true
legfontosabb, fontos, legfontosabb, false
különösen, különösen, különösen, true
helyett, helyett, helyett, true
élő, él, élő, false
valamit, valami, valamit, false
társadalmi, társadalmi, társadalmi, true
amelynek, amely, amely, true
könnyen, könnyen, könnyen, true
gyorsan, gyorsan, gyorsan, true
nemzeti, nemzeti, nem, false
válik, válik, válik, true
oda, oda, oda, true
rövid, rövid, rövid, true
melynek, amely, mely, false
kérdés, kérdés, kérdés, true
azonnal, azonnal, az, false
később, később|későn, később, false
nekünk, mi, nekünk, false
pont, pont, pont, true
nekik, ők, neki, false
istván, istván, is, false
megfelelően, megfelelően, megfelelő, false
könyv, könyv, könyv, true
ugyan, ugyan, ugyan, true
körül, körül, körül, true
ideje, idő, ideje, false
aki, aki, a, false
mások, más, más, true
jön, jön, jön, true
azon, az, az, true
sokszor, sokszor, sok, false
bár, bár, bár, true
senki, senki, senki, true
lehetett, van__lesz, lehet, false
víz, víz, víz, true
ide, ide, ide, true
belőle, ő, be, false
akar, akar, a, false
közé, közé, közé, true
alkalommal, alkalom, a, false
akinek, aki, aki, true
politikai, politikai, politikai, true
keretében, keret, keretében, false
ebben, ez, ebben, false
család, család, család, true
legtöbb, sok, legtöbb, false
sokan, sokan, sok, false
végre, végre, végre, true
kevés, kevés, kevés, true
pontosan, pontosan, pont, false
fiatal, fiatal, fiatal, true
egyáltalán, egyáltalán, egy, false
jár, jár, jár, true
közötti, közötti, között, false
ön, ön, ön, true
tudtam, tud, tudtam, false
egyszerűen, egyszerűen, egyszerű, false
idén, idén, idén, true
út, út, út, true
épp, épp, épp, true
egy-egy, egy-egy, egy, false
erős, erős, erős, true
lehetőséget, lehetőség, lehetőség, true
attól, az, a, false
európai, európai, európai, true
köszönhetően, köszönhetően, köszönhetően, true
időben, idő, idő, true
te, te, te, true
minket, mi, minket, false
mondja, mond, mondja, false
e, e, e, true
egyedül, egyedül, egy, false
tényleg, tényleg, tényleg, true
addig, addig, a, false
lehetséges, lehetséges, lehet, false
komoly, komoly, komoly, true
ezzel, ez, ez, true
sajnos, sajnos, sajnos, true
persze, persze, persze, true
aztán, aztán, azt, false
általános, általános, által, false
eredeti, eredeti, eredeti, true
s, s, s, true
gyermek, gyermek, gyermek, true
évi, évi, év, false
budapest, budapest, budapest, true
eddig, eddig, eddig, true
tett, tesz, tett, false
tűnik, tűnik, tűnik, true
napi, napi, nap, false
sor, sor, sor, true
látható, látható, látható, true
kedves, kedves, kedves, true
jelenleg, jelenleg, jelenleg, true
venni, vesz, venni, false
maradt, marad, maradt, false
ferenc, ferenc, ferenc, true
tudják, tud, tudják, false
szól, szól, szó, false
szellemi, szellemi, szellemi, true
egyébként, egyébként, egyéb, false
tartott, tart, tartott, false
dr., dr., dr., true
fogja, fog, fog, true
miközben, miközben, miközben, true
mintegy, mintegy, mint, false
marad, marad, marad, true
európai, európai, európai, true
gyerekek, gyerek, gyerekek, false
jános, jános, jános, true
különleges, különleges, különleges, true
tette, tesz, tett, false
főleg, főleg, fő, false
semmit, semmi, semmi, true
miért, miért|amiért, miért, false
cég, cég, cég, true
száma, szám, száma, false
mak, mak, mak, true
évvel, év, év, true
csapat, csapat, csapat, true
úton, út, út, true
rajta, ő, rajta, false
forint, forint, forint, true
jó, jó, jó, true
családi, családi, család, false
ehhez, ez, ehhez, false
érdekes, érdekes, érdekes, true
akkor, az, a, false
amennyiben, amennyiben, a, false
vett, vesz, vett, false
területén, terület, területén, false
valamilyen, valamilyen, valamilyen, true
tartozik, tartozik, tartozik, true
továbbá, továbbá, tovább, false
ismert, ismer, is, false
tiszta, tiszta, tiszta, true
külső, külső, külső, true
fizikai, fizikai, fizikai, true
annyi, annyi, a, false
ezen, ezen, ez, false
este, este, este, true
lelki, lelki, lelki, true
helyzet, helyzet, helyzet, true
működik, működik, működik, true
tesz, tesz, tesz, true
elején, eleje, el, false
leginkább, inkább, leginkább, false
tudni, tud, tudni, false
rengeteg, rengeteg, rengeteg, true
személy, személy, személy, true
öt, öt, öt, true
van, van, van, true
vonatkozó, vonatkozik, vonatkozó, false
részét, rész, részét, false
született, születik, született, false
munkát, munka, munkát, false
egyaránt, egyaránt, egy, false
embert, ember, ember, true
kft, kft, kft, true
kizárólag, kizárólag, ki, false
hagyományos, hagyományos, ha, false
korábbi, korábbi, korábbi, true
lehetővé, lehető, lehet, false
helyet, hely, helyet, false
alig, alig, a, false
néha, néha, néha, true
állt, áll, áll, true
él, él, él, true
rendkívül, rendkívül, rendkívül, true
utóbbi, utóbbi, utóbbi, true
megy, megy, meg, false
adatok, adat, a, false
tőle, ő, tőle, false
elé, elé, el, false
tart, tart, tart, true
m, m, m, true
akit, aki, aki, true
rendelkezik, rendelkezik, rendelkezik, true
hat, hat, ha, false
amerikai, amerikai, a, false
tehát, tehát, tehát, true
hely, hely, hely, true
tudunk, tud, tudunk, false
természetesen, természetesen, természetes, false
többet, sok, több, false
perc, perc, perc, true
szeretet, szeretet, szeretet, true
fehér, fehér, fehér, true
lassan, lassan, lassan, true
képesek, képes, képes, true
modern, modern, modern, true
talán, talán, talán, true
látni, lát, látni, false
mértékben, mérték, mértékben, false
közösségi, közösségi, közösség, false
képest, képest, képes, false
oldalon, oldal, oldalon, false
egészséges, egészséges, egész, false
lesznek, lesz, lesz, true
tudok, tud, tudok, false
egymást, egymás, egymás, true
segít, segít, segít, true
időt, idő, idő, true
egyesület, egyesület, egyes, false
neked, te, neked, false
egyéni, egyéni, egy, false
ma, ma, ma, true
mennyire, mennyire|amennyire, mennyire, false
május, május, május, true
hogyan, ahogyan|hogyan, hogy, false
rendelkező, rendelkezik, rendelkező, false
szeretnénk, szeret, szeretnénk, false
mindenkinek, mindenki, mindenki, true
előző, előző, el, false
krisztus, krisztus|krisztus, krisztus, false
nemzeti, nemzeti, nem, false
szépen, szépen, szép, false
létre, létre, létre, true
kormány, kormány, kormány, true
adni, ad, a, false
kiváló, kiváló, ki, false
megint, megint, meg, false
magam, én|maga, maga, false
segítséget, segítség, segítséget, false
ment, megy, ment, false
bármilyen, bármilyen, bár, false
dolgok, dolog, dolgok, false
szerepet, szerep, szerepet, false
anyagi, anyagi, anyag, false
azon, azon, az, false
olyan, olyan, olyan, true
továbbra, továbbra, tovább, false
években, év, évek, false
zsuzsi, zsuzsi, zsuzsi, true
ahogyan, ahogyan, ahogy, false
egyszerre, egyszerre, egyszer, false
sajnos, sajnos, sajnos, true
állami, állami, állam, false
velük, ők, velük, false
szinten, szint, szinte, false
végig, végig, végig, true
természeti, természeti, természeti, true
kép, kép, kép, true
kevesebb, kevés, kevesebb, false
amelyben, amely, amely, true
alábbi, alábbi, alá, false
igen, igen, igen, true
egyben, egyben, egy, false
pozitív, pozitív, pozitív, true
magukat, maga, magukat, false
tagja, tag, tagja, false
magunkat, mag, magunkat, false
sok, sok, sok, true
szívesen, szívesen, szívesen, true
június, június, június, true
valódi, valódi, való, false
egymás, egymás, egy, false
szeretnék, szeret, szeretnék, false
német, német, német, true
július, július, július, true
meghatározott, meghatároz, meg, false
fekete, fekete, fekete, true
pénzügyi, pénzügyi, pénzügyi, true
tudta, tud, tudta, false
alkalmas, alkalmas, a, false
március, március, már, false
figyelembe, figyelem, figyelembe, false
valójában, valójában, való, false
film, film, film, true
úr, úr, úr, true
mutatja, mutat, mutatja, false
jutott, jut, jutott, false
engem, én, engem, false
hiszem, hisz, hiszem, false
felett, felett, fel, false
otthon, otthon, ott, false
magasabb, magas, magas, true
kap, kap, kap, true
józsef, józsef, jó, false
gyors, gyors, gyors, true
ebből, ez, ebből, false
figyelmet, figyelem, figyelmet, false
mikor, amikor|mikor, mikor, false
jogi, jogi, jogi, true
ii, ii, ii, true
tudományos, tudományos, tudom, false
mint, mint, mint, true
könnyű, könnyű, könnyű, true
vagy, vagy, vagy, true
tökéletes, tökéletes, tökéletes, true
biztosan, biztosan, biztos, false
ahogy, ahogy, a, false
oka, ok, oka, false
hasznos, hasznos, ha, false
aminek, ami, ami, true
mondani, mond, mondani, false
azóta, azóta, az, false
tudnak, tud, tudnak, false
elnöke, elnök, el, false
lélek, lélek, lélek, true
április, április, április, true
mögött, mögött, mögött, true
országos, országos, ország, false
azoknak, az, azok, false
finom, finom, finom, true
indult, indul, indult, false
jelenlegi, jelenlegi, jelenleg, false
bennünket, mi, be, false
elérhető, elérhető, el, false
révén, révén, révén, true
szerintem, szerint, szerint, true
lehetne, van__lesz, lehet, false
ekkor, ez, ekkor, false
utána, után, után, true
anyag, anyag, a, false
kulturális, kulturális, kulturális, true
iránt, iránt, iránt, true
kevésbé, kevésbé, kevés, false
dolgokat, dolog, dolgok, false
mellé, mellé, mellé, true
folyamatos, folyamatos, folyamatos, true
amelyeket, amely, amelyek, false
sikeres, sikeres, sikeres, true
tagjai, tag, tagja, false
formában, forma, formában, false
több, sok, több, false
hát, hát, hát, true
erről, ez, erről, false
láttam, lát, láttam, false
október, október, október, true
tudott, tud, tudott, false
ki, ki|aki, ki, false
használt, használ, ha, false
nők, nő, nő, true
tudod, tud, tudod, false
tartja, tart, tartja, false
megjelent, megjelenik, meg, false
végzett, végez, végzett, false
működő, működik, működő, false
ért, ér, ért, false
vezető, vezet, vezető, false
probléma, probléma, probléma, true
hirtelen, hirtelen, hirtelen, true
vár, vár, vár, true
oldal, oldal, oldal, true
neve, név, neve, false
jut, jut, jut, true
segíteni, segít, segíteni, false
minél, ami|mi, minél, false
új, új, új, true
természet, természet, természet, true
sincs, sincs, sincs, true
múlva, múlva, múlva, true
gyerek, gyerek, gyerek, true
na, na, na, true
hisz, hisz, hisz, true
baj, baj, baj, true
területen, terület, területen, false
lány, lány, lány, true
tartani, tart, tartani, false
n, n|n, n, false
vette, vesz, vett, false
használni, használ, ha, false
ami, ami, a, false
életet, élet, élete, false
zöld, zöld, zöld, true
terület, terület, terület, true
megoldás, megoldás, meg, false
gábor, gábor, gábor, true
szociális, szociális, szociális, true
iskola, iskola, is, false
előbb, előbb, el, false
nagy, nagy, nagy, true
január, január, január, true
tartozó, tartozik, tartozó, false
angol, angol, a, false
reggel, reggel, reggel, true
magyarországi, magyarországi, magyarország, false
ház, ház, ház, true
milliárd, milliárd, milliárd, true
létezik, létezik, létezik, true
annyit, annyi, annyi, true
életét, élet, élet, true
ingyenes, ingyenes, ingyenes, true
vége, vég, vége, false
meleg, meleg, meleg, true
amivel, ami, ami, true
állandó, állandó, áll, false
üzleti, üzleti, üzleti, true
napig, nap, napi, false
lehet, van__lesz, lehet, false
erre, ez, erre, false
nincs, nincs, nincs, true
cél, cél, cél, true
adja, ad, a, false
részére, részére, részére, true
idején, idő, idején, false
hozzá, ő, hozzá, false
gyönyörű, gyönyörű, gyönyörű, true
két, két, két, true
ilyenkor, ilyenkor, ilyen, false
hónap, hónap, hónap, true
projekt, projekt, projekt, true
héten, hét, hét, true
eddig, ez, eddig, false
termék, termék, termék, true
amennyiben, amennyiben, a, false
majd, majd, majd, true
rész, rész, rész, true
többek, sok, több, false
zoltán, zoltán, zoltán, true
elleni, elleni, ellen, false
augusztus, augusztus, a, false
alapvető, alapvető, a, false
érkezett, érkezik, érkezett, false
világban, világ, világ, true
dolgot, dolog, dolgot, false
élni, él, élni, false
test, test, test, true
abból, az, a, false
történelmi, történelmi, történelmi, true
század, század, század, true
látszik, látszik, látszik, true
miután, miután, miután, true
kedves, kedves, kedves, true
képet, kép, képet, false
semmilyen, semmilyen, semmi, false
veszi, veszik, veszi, false
közvetlenül, közvetlenül, közvetlenül, true
folyamat, folyamat, folyamat, true
apró, apró, a, false
választ, válasz, választ, false
szerinti, szerinti, szerint, false
hozott, hoz, hozott, false
szüksége, szükség, szüksége, false
nyári, nyári, nyári, true
mindkét, mindkét, mindkét, true
körülmények, körülmény, körül, false
nehezen, nehezen, nehezen, true
velem, én, vele, false
többször, többször, több, false
velünk, mi, velünk, false
következő, következő, következő, true
alapítvány, alapítvány, a, false
valószínűleg, valószínűleg, való, false
szempontból, szempont, szempontból, false
pénzt, pénz, pénzt, false
november, november, november, true
király, király, ki, false
embernek, ember, ember, true
speciális, speciális, speciális, true
ekkor, ez, ekkor, false
szeptember, szeptember, szeptember, true
online, online, online, true
mire, ami|mi, mire, false
felelős, felelős, fel, false
pontos, pontos, pont, false
tér, tér, tér, true
azonos, azonos, az, false
ráadásul, ráadás, rá, false
embereket, ember, emberek, false
széles, széles, széles,
